,Harry Potter and the Chamber of Secrets,Unnamed: 1
3715,"“The whole thing is arrant nonsense, of course,” he said. “Naturally, the school has bee",
3716,"searched for evidence of such a chamber, many times, by the most learned witches and",
3717,wizards. It does not exist. A tale told to frighten the gullible.”,
3718,Hermione’s hand was back in the air.,
3719,“Sir — what exactly do you mean by the ‘horror within’ the Chamber?”,
3720,"“That is believed to be some sort of monster, which the Heir of Slytherin alone can",
3721,"control,” said Professor Binns in his dry, reedy voice.",
3722,The class exchanged nervous looks.,
3723,"“I tell you, the thing does not exist,” said Professor Binns, shuffling his notes. “Ther",is
3724,no Chamber and no monster.”,
3725,"“But, sir,” said Seamus Finnigan, “if the Chamber can only be opened by Slytherin’s true",
3726,"heir, no one else would be able to find it, would they?”",
3727,"“Nonsense, O’Flaherty,” said Professor Binns in an aggravated tone. “If a long successio",
3728,of Hogwarts headmasters and headmistresses haven’t found the thing —”,
3729,"“But, Professor,” piped up Parvati Patil, “you’d probably have to use Dark Magic to open",
3730,it —”,
3731,"“Just because a wizard doesn’t use Dark Magic doesn’t mean he can’t, Miss",
3732,"Pennyfeather,” snapped Professor Binns. “I repeat, if the likes of Dumbledore —”",
3733,"“But maybe you’ve got to be related to Slytherin, so Dumbledore couldn’t —” began",
3734,"Dean Thomas, but Professor Binns had had enough.",
3735,"“That will do,” he said sharply. “It is a myth! It does not exist! There is not a shred",f
3736,evidence that Slytherin ever built so much as a secret broom cupboard! I regret telling,
3737,"you such a foolish story! We will return, if you please, to history, to solid, believabl",","
3738,verifiable fact!”,
3739,"And within five minutes, the class had sunk back into its usual torpor.",
3740,Page 130 of 291,
3741,Get free e-books and video tutorials at www.passuneb.com,
3742,,
3743,,
3744,"“I always knew Salazar Slytherin was a twisted old loony,” Ron told Harry and Hermione",
3745,as they fought their way through the teeming corridors at the end of the lesson to drop,
3746,off their bags before dinner. “But I never knew he started all this pure-blood stuff. I,
3747,"wouldn’t be in his house if you paid me. Honestly, if the Sorting Hat had tried to put me",
3748,"in Slytherin, I’d’ve got the train straight back home…”",
3749,"Hermione nodded fervently, but Harry didn’t say anything. His stomach had just",
3750,dropped unpleasantly.,
3751,Harry had never told Ron and Hermione that the Sorting Hat had seriously considered,
3752,"putting him in Slytherin. He could remember, as though it were yesterday, the small",
3753,voice that had spoken in his ear when he’d placed the hat on his head a year before: You,
3754,"could be great, you know, it’s all here in your head, and Slytherin would help you on the",
3755,"way to greatness, no doubt about that…",
3756,"But Harry, who had already heard of Slytherin House’s reputation for turning out Dark",
3757,"wizards, had thought desperately, Not Slytherin! and the hat had said, Oh, well, if you’re",
3758,sure… better be Gryffindor…,
3759,"As they were shunted along in the throng, Colin Creevy went past.",
3760,"“Hiya, Harry!”",
3761,"“Hullo, Colin,” said Harry automatically.",
3762,“Harry — Harry — a boy in my class has been saying you’re —”,
3763,But Colin was so small he couldn’t fight against the tide of people bearing him toward,
3764,"the Great Hall; they heard him squeak, “See you, Harry!” and he was gone.",
3765,“What’s a boy in his class saying about you?” Hermione wondered.,
3766,"“That I’m Slytherin’s heir, I expect,” said Harry, his stomach dropping another inch or so",
3767,as he suddenly remembered the way Justin Finch-Fletchley had run away from him at,
3768,lunchtime.,
3769,"“People here’ll believe anything,” said Ron in disgust.",
3770,Page 131 of 291,
3771,Get free e-books and video tutorials at www.passuneb.com,
3772,,
3773,,
3774,The crowd thinned and they were able to climb the next staircase without difficulty.,
3775,“D’you really think there’s a Chamber of Secrets?” Ron asked Hermione.,
3776,"“I don’t know,” she said, frowning. “Dumbledore couldn’t cure Mrs. Norris, and that",
3777,makes me think that whatever attacked her might not be — well — human.”,
3778,"As she spoke, they turned a corner and found themselves at the end of the very corridor",
3779,where the attack had happened. They stopped and looked. The scene was just as it had,
3780,"been that night, except that there was no stiff cat hanging from the torch bracket, and",
3781,an empty chair stood against the wall bearing the message “The Chamber of Secrets has,
3782,been Opened.”,
3783,"“That’s where Filch has been keeping guard,” Ron muttered.",
3784,They looked at each other. The corridor was deserted.,
3785,"“Can’t hurt to have a poke around,” said Harry, dropping his bag and getting to his",
3786,"hands and knees so that he could crawl along, searching for clues.",
3787,“Scorch marks!” he said. “Here — and here —”,
3788,“Come and look at this!” said Hermione. “This is funny…”,
3789,Harry got up and crossed to the window next to the message on the wall. Hermione was,
3790,"pointing at the topmost pane, where around twenty spiders were scuttling, apparently",
3791,"fighting to get through a small crack. A long, silvery thread was dangling like a rope, as",
3792,though they had all climbed it in their hurry to get outside.,
3793,“Have you ever seen spiders act like that?” said Hermione wonderingly.,
3794,"“No,” said Harry, “have you, Ron? Ron?”",
3795,He looked over his shoulder. Ron was standing well back and seemed to be fighting the,
3796,impulse to run.,
3797,“What’s up?” said Harry.,
3798,Page 132 of 291,
3799,Get free e-books and video tutorials at www.passuneb.com,
3800,,
3801,,
3802,"“I — don’t — like — spiders,” said Ron tensely.",
3803,"“I never knew that,” said Hermione, looking at Ron in surprise. “You’ve used spiders in",
3804,Potions loads of times…”,
3805,"“I don’t mind them dead,” said Ron, who was carefully looking anywhere but at the",
3806,window. “I just don’t like the way they move…”,
3807,Hermione giggled.,
3808,"“It’s not funny,” said Ron, fiercely. “If you must know, when I was three, Fred turned m",
3809,— my teddy bear into a great big filthy spider because I broke his toy broomstick… You,
3810,wouldn’t like them either if you’d been holding your bear and suddenly it had too many,
3811,legs and…”,
3812,"He broke off, shuddering. Hermione was obviously still trying not to laugh. Feeling they",
3813,"had better get off the subject, Harry said, “Remember all that water on the floor? Where",
3814,did that come from? Someone’s mopped it up.”,
3815,"“It was about here,” said Ron, recovering himself to walk a few paces past Filch’s chair an",
3816,pointing. “Level with this door.”,
3817,He reached for the brass doorknob but suddenly withdrew his hand as though he’d,
3818,been burned.,
3819,“What’s the matter?” said Harry.,
3820,"“Can’t go in there,” said Ron gruffly. “That’s a girls’ toilet.”",
3821,"“Oh, Ron, there won’t be anyone in there,” said Hermione standing up and coming over.",
3822,"“That’s Moaning Myrtle’s place. Come on, let’s have a look.”",
3823,"And ignoring the large OUT OF ORDER sign, she opened the door.",
3824,"It was the gloomiest, most depressing bathroom Harry had ever set foot in. Under a",
3825,"large, cracked, and spotted mirror were a row of chipped sinks. The floor was damp and",
3826,Page 133 of 291,
3827,Get free e-books and video tutorials at www.passuneb.com,
3828,,
3829,,
3830,"reflected the dull light given off by the stubs of a few candles, burning low in their",
3831,holders; the wooden doors to the stalls were flaking and scratched and one of them was,
3832,dangling off its hinges.,
3833,Hermione put her fingers to her lips and set off toward the end stall. When she reached,
3834,"it she said, “Hello, Myrtle, how are you?”",
3835,"Harry and Ron went to look. Moaning Myrtle was floating above the tank of the toilet,",
3836,picking a spot on her chin.,
3837,"“This is a girls’ bathroom,” she said, eyeing Ron and Harry suspiciously. “They’re not",
3838,girls.”,
3839,"“No,” Hermione agreed. “I just wanted to show them how er — nice it is in here.”",
3840,She waved vaguely at the dirty old mirror and the damp floor.,
3841,"“Ask her if she saw anything,” Harry mouthed at Hermione.",
3842,"“What are you whispering?” said Myrtle, staring at him.",
3843,"“Nothing,” said Harry quickly. “We wanted to ask —”",
3844,"“I wish people would stop talking behind my back!” said Myrtle, in a voice choked with",
3845,"tears. “I do have feelings, you know, even if I am dead —”",
3846,"“Myrtle, no one wants to upset you,” said Hermione. “Harry only —”",
3847,“No one wants to upset me! That’s a good one!” howled Myrtle. “My life was nothing,
3848,but misery at this place and now people come along ruining my death!”,
3849,"“We wanted to ask you if you’ve seen anything funny lately,” said Hermione quickly.",
3850,“Because a cat was attacked right outside your front door on Halloween.”,
3851,“Did you see anyone near here that night?” said Harry.,
3852,"“I wasn’t paying attention,” said Myrtle dramatically. “Peeves upset me so much I came",
3853,"in here and tried to kill myself. Then, of course, I remembered that I’m — that I’m —”",
3854,Page 134 of 291,
3855,Get free e-books and video tutorials at www.passuneb.com,
3856,,
3857,,
3858,"“Already dead,” said Ron helpfully.",
3859,"Myrtle gave a tragic sob, rose up in the air, turned over, and dived headfirst into the",
3860,"toilet, splashing water all over them and vanishing from sight, although from the",
3861,"direction of her muffled sobs, she had come to rest somewhere in the U-bend.",
3862,"Harry and Ron stood with their mouths open, but Hermione shrugged wearily and said,",
3863,"“Honestly, that was almost cheerful for Myrtle… Come on, let’s go.”",
3864,Harry had barely closed the door on Myrtle’s gurgling sobs when a loud voice made all,
3865,three of them jump.,
3866,“RON!”,
3867,"Percy Weasley had stopped dead at the head of the stairs, prefect badge agleam, an",
3868,expression of complete shock on his face.,
3869,“That’s a girls’ bathroom!” he gasped. “What were you —?”,
3870,"“Just having a look around,” Ron shrugged. “Clues, you know —”",
3871,Percy swelled in a manner that reminded Harry forcefully of Mrs. Weasley.,
3872,"“Get — away — from — there —” Perry said, striding toward them and starting to bustle",
3873,"them along, flapping his arms. “Don’t you care what this looks like? Coming back here",
3874,while everyone’s at dinner —”,
3875,"“Why shouldn’t we be here?” said Ron hotly, stopping short and glaring at Percy.",
3876,"“Listen, we never laid a finger on that cat!”",
3877,"“That’s what I told Ginny,” said Percy fiercely, “but she still seems to think you’re going",
3878,"to be expelled, I’ve never seen her so upset, crying her eyes out, you might think of her,",
3879,all the first years are thoroughly overexcited by this business —”,
3880,"“You don’t care about Ginny,” said Ron, whose ears were now reddening. “You’re just",
3881,worried I’m going to mess up your chances of being Head Boy —”,
3882,Page 135 of 291,
3883,Get free e-books and video tutorials at www.passuneb.com,
3884,,
3885,,
3886,"“Five points from Gryffindor!” Percy said tersely, fingering his prefect badge. “And I",
3887,"hope it teaches you a lesson! No more detective work, or I’ll write to Mum!”",
3888,"And he strode off, the back of his neck as red as Ron’s ears.",
3889,"Harry, Ron, and Hermione chose seats as far as possible from Percy in the common",
3890,room that night. Ron was still in a very bad temper and kept blotting his Charms,
3891,"homework. When he reached absently for his wand to remove the smudges, it ignited",
3892,"the parchment. Fuming almost as much as his homework, Ron slammed The Standard",
3893,"Book of Spells, Grade 2 shut. To Harry’s surprise, Hermione followed suit.",
3894,"“Who can it be, though?” she said in a quiet voice, as though continuing a conversation",
3895,they had just been having. “Who’d want to frighten all the Squibs and Muggle-borns out,
3896,of Hogwart’s?”,
3897,"“Let’s think,” said Ron in mock puzzlement. “Who do we know who thinks Muggle-borns",
3898,are scum?”,
3899,"He looked at Hermione. Hermione looked back, unconvinced.",
3900,“If you’re talking about Malfoy —”,
3901,"“Of course I am!” said Ron. “You heard him — ‘You’ll be next, Mudbloods!’— come on,",
3902,you’ve only got to look at his foul rat face to know it’s him —”,
3903,"“Malfoy, the Heir of Slytherin?” said Hermione skeptically.",
3904,"“Look at his family,” said Harry, closing his books, too. “The whole lot of them have bee",
3905,in Slytherin; he’s always boasting about it. They could easily be Slytherin’s descendants,
3906,His father’s definitely evil enough.”,
3907,“They could’ve had the key to the Chamber of Secrets for centuries!” said Ron. “Handing,
3908,"it down, father to son…”",
3909,"“Well,” said Hermione cautiously, “I suppose it’s possible…”",
3910,Page 136 of 291,
3911,Get free e-books and video tutorials at www.passuneb.com,
3912,,
3913,,
3914,“But how do we prove it?” said Harry darkly.,
3915,"“There might be a way,” said Hermione slowly, dropping her voice still further with a",
3916,"quick glance across the room at Percy. “Of course, it would be difficult. And dangerous,",
3917,"very dangerous. We’d be breaking about fifty school rules, I expect —”",
3918,"“If, in a month or so, you feel like explaining, you will let us know, won’t you?” said R",n
3919,irritably.,
3920,"“All right,” said Hermione coldly. “What we’d need to do is to get inside the Slytherin",
3921,common room and ask Malfoy a few questions without him realizing it’s us.”,
3922,"“But that’s impossible,” Harry said as Ron laughed.",
3923,"“No, it’s not,” said Hermione. “All we’d need would be some Polyjuice Potion.”",
3924,“What’s that?” said Ron and Harry together.,
3925,“Snape mentioned it in class a few weeks ago —”,
3926,“D’you think we’ve got nothing better to do in Potions than listen to Snape?” muttered,
3927,Ron.,
3928,“It transforms you into somebody else. Think about it! We could change into three of,
3929,the Slytherins. No one would know it was us. Malfoy would probably tell us anything.,
3930,"He’s probably boasting about it in the Slytherin common room right now, if only we",
3931,could hear him.”,
3932,"“This Polyjuice stuff sounds a bit dodgy to me,” said Ron, frowning. “What if we were",
3933,stuck looking like three of the Slytherins forever?”,
3934,"“It wears off after a while,” said Hermione, waving her hand impatiently. “But getting",
3935,hold of the recipe will be very difficult. Snape said it was in a book called Moste Poten,e
3936,Potions and it’s bound to be in the Restricted Section of the library.” There was only on,
3937,way to get out a book from the Restricted Section: You needed a signed note of,
3938,"permission from a teacher. “Hard to see why we’d want the book, really,” said Ron, “if we",
3939,"weren’t going to try and make one of the potions.” “I think,” said Hermione, “that if we",
3940,Page 137 of 291,
3941,Get free e-books and video tutorials at www.passuneb.com,
3942,,
3943,,
3944,"made it sound as though we were just interested in the theory, we might stand a",
3945,chance…,
3946,"“Oh, come on, no teacher’s going to fall for that,” said Ron. “They’d have to be really",
3947,thick…” CHAPTER TEN,
3948,The Rogue Bludger,
3949,"Since the disastrous episode of the pixies, Professor Lockhart had not brought live",
3950,"creatures to class. Instead, he read passages from his books to them, and sometimes",
3951,reenacted some of the more dramatic bits. He usually picked Harry to help him with,
3952,"these reconstructions; so far, Harry had been forced to play a simple Transylvanian",
3953,"villager whom Lockhart had cured of a Babbling Curse, a yeti with a head cold, and a",
3954,vampire who had been unable to eat anything except lettuce since Lockhart had dealt,
3955,with him.,
3956,Harry was hauled to the front of the class during their very next Defense Against the,
3957,"Dark Arts lesson, this time acting a werewolf. If he hadn’t had a very good reason for",
3958,"keeping Lockhart in a good mood, he would have refused to do it.",
3959,"“Nice loud howl, Harry — exactly — and then, if you’ll believe it, I pounced — like this",
3960,"— slammed him to the floor — thus with one hand, I managed to hold him down —",
3961,"with my other, I put my wand to his throat — I then screwed up my remaining strength",
3962,and performed the immensely complex Homorphus Charm - he let out a piteous moan,
3963,"— go on, Harry — higher than that — good — the fur vanished — the fangs shrank —",
3964,"and he turned back into a man. Simple, yet effective — and another village will",
3965,remember me forever as the hero who delivered them from the monthly terror of,
3966,werewolf attacks.”,
3967,The bell rang and Lockhart got to his feet.,
3968,“Homework — compose a poem about my defeat of the Wagga Wagga Werewolf!,
3969,Signed copies of Magical Me to the author of the best one!”,
3970,"The class began to leave. Harry returned to the back of the room, where Ron and",
3971,Hermione were waiting.,
3972,Page 138 of 291,
3973,Get free e-books and video tutorials at www.passuneb.com,
3974,,
3975,,
3976,“Ready?” Harry muttered.,
3977,"“Wait till everyone’s gone,” said Hermione nervously. “All right…”",
3978,"She approached Lockhart’s desk, a piece of paper clutched tightly in her hand, Harry",
3979,and Ron right behind her.,
3980,“Er — Professor Lockhart?” Hermione stammered. “I wanted to — to get this book out,
3981,"of the library. Just for background reading.” She held out the piece of paper, her hand",
3982,"shaking slightly. “But the thing is, it’s in the Restricted Section of the library, so I",eed
3983,teacher to sign for it — I’m sure it would help me understand what you say in Gadding,
3984,with Ghouls about slow-acting venoms.”,
3985,"“Ah, Gadding with Ghouls!” said Lockhart, taking the note from Hermione and smiling",
3986,widely,
3987,at her. “Possibly my very favorite book. You enjoyed it?”,
3988,"“Oh, yes,” said Hermione eagerly. “So clever, the way you trapped that last one with the",
3989,teastrainer —”,
3990,"“Well, I’m sure no one will mind me giving the best student of the year a little extra",
3991,"help,” said Lockhart warmly, and he pulled out an enormous peacock quill. “Yes, nice,",
3992,"isn’t it?” he said, misreading the revolted look on Ron’s face. “I usually save it for bo",k-
3993,signings.”,
3994,He scrawled an enormous loopy signature on the note and handed it back to Hermione.,
3995,"“So, Harry,” said Lockhart, while Hermione folded the note with fumbling fingers and",
3996,"slipped it into her bag. “Tomorrow’s the first Quidditch match of the season, I believe?",
3997,"Gryffindor against Slytherin, is it not? I hear you’re a useful player. I was a Seeker, t",o. I
3998,"was asked to try for the National Squad, but preferred to dedicate my life to the",
3999,"eradication of the Dark Forces. Still, if ever you feel the need for a little private tra",ning
4000,don’t hesitate to ask. Always happy to pass on my expertise to less able players…”,
4001,Harry made an indistinct noise in his throat and then hurried off after Ron and,
4002,Hermione.,
4003,Page 139 of 291,
4004,Get free e-books and video tutorials at www.passuneb.com,
4005,,
4006,,
4007,"“I don’t believe it,” he said as the three of them examined the signature on the note. “H",
4008,didn’t even look at the book we wanted.”,
4009,"“That’s because he’s a brainless git,” said Ron. “But who cares, we’ve got what we",
4010,needed—”,
4011,"“He is not a brainless git,” said Hermione shrilly as they half ran toward the library.",
4012,“Just because he said you were the best student of the year —”,
4013,They dropped their voices as they entered the muffled stillness of the library. Madam,
4014,"Pince, the librarian, was a thin, irritable woman who looked like an underfed vulture.",
4015,"“Moste Potente Potions?” she repeated suspiciously, trying to take the note from",
4016,Hermione; but Hermione wouldn’t let go.,
4017,"“I was wondering if I could keep it,” she said breathlessly.",
4018,"“Oh, come on,” said Ron, wrenching it from her grasp and thrusting it at Madam Pince.",
4019,“We’ll get you another autograph. Lockhart’ll sign anything if it stands still long,
4020,enough.”,
4021,"Madam Pince held the note up to the light, as though determined to detect a forgery,",
4022,but it passed the test. She stalked away between the lofty shelves and returned several,
4023,minutes later carrying a large and moldy-looking book. Hermione put it carefully into,
4024,"her bag and they left, trying not to walk too quickly or look too guilty.",
4025,"Five minutes later, they were barricaded in Moaning Myrtle’s out-of-order bathroom",
4026,once again.,
4027,Hermione had overridden Ron’s objections by pointing out that it was the last place,
4028,"anyone in their right minds would go, so they were guaranteed some privacy. Moaning",
4029,"Myrtle was crying noisily in her stall, but they were ignoring her, and she them.",
4030,"Hermione opened Moste Potente Potions carefully, and the three of them bent over the",
4031,dampspotted pages. It was clear from a glance why it belonged in the Restricted,
4032,"Section. Some of the potions had effects almost too gruesome to think about, and there",
4033,Page 140 of 291,
4034,Get free e-books and video tutorials at www.passuneb.com,
4035,,
4036,,
4037,"were some very unpleasant illustrations, which included a man who seemed to have",
4038,been turned inside out and a witch sprouting several extra pairs of arms out of her head.,
4039,"“Here it is,” said Hermione excitedly as she found the page headed The Polyjuice Potion.",
4040,It was decorated with drawings of people halfway through transforming into other,
4041,people. Harry sincerely hoped the artist had imagined the looks of intense pain on their,
4042,faces.,
4043,"“This is the most complicated potion I’ve ever seen,” said Hermione as they scanned the",
4044,"recipe. “Lacewing flies, leeches, fluxweed, and knotgrass,” she murmured, running her",
4045,"finger down the list of ingredients. “Well, they’re easy enough, they’re in the student",
4046,"store-cupboard, we can help ourselves… Oooh, look, powdered horn of a bicorn —",
4047,don’t know where we’re going to get that — shredded skin of a boomslang — that’ll be,
4048,"tricky, too and of course a bit of whoever we want to change into.”",
4049,"“Excuse me?” said Ron sharply. “What d’you mean, a bit of whoever we’re changing",
4050,into? I’m drinking nothing with Crabbe’s toenails in it —”,
4051,Hermione continued as though she hadn’t heard him.,
4052,"“We don’t have to worry about that yet, though, because we add those bits last…”",
4053,"Ron turned, speechless, to Harry, who had another worry.",
4054,"“D’you realize how much we’re going to have to steal, Hermione? Shredded skin of a",
4055,"boomslang, that’s definitely not in the students’ cupboard. What’re we going to do,",
4056,break into Snape’s private stores? I don’t know if this is a good idea…”,
4057,Hermione shut the book with a snap.,
4058,"“Well, if you two are going to chicken out, fine,” she said. There were bright pink",
4059,patches on her cheeks and her eyes were brighter than usual. “I don’t want to break,
4060,"rules, you know. I think threatening Muggle-borns is far worse than brewing up a",
4061,"difficult potion. But if you don’t want to find out if it’s Malfoy, I’ll go straight to Mada",
4062,Pince now and hand the book back in.’,
4063,Page 141 of 291,
4064,Get free e-books and video tutorials at www.passuneb.com,
4065,,
4066,,
4067,"“I never thought I’d see the day when you’d be persuading us to break rules,” said Ron.",
4068,"“All right, we’ll do it. But not toenails, okay?”",
4069,"“How long will it take to make, anyway?” said Harry as Hermione, looking happier,",
4070,opened the book again.,
4071,"“Well, since the fluxweed has got to be picked at the full moon and the lacewings have",
4072,"got to be stewed for twenty-one days… I’d say it’d be ready in about a month, if we can",
4073,get all the ingredients.”,
4074,“A month?” said Ron. “Malfoy could have attacked half the Muggle-borns in the school,
4075,"by then!” But Hermione’s eyes narrowed dangerously again, and he added swiftly, “But",
4076,"it’s the best plan we’ve got, so full steam ahead, I say.”",
4077,"However, while Hermione was checking that the coast was clear for them to leave the",
4078,"bathroom, Ron muttered to Harry, “It’ll be a lot less hassle if you can just knock Malfoy",
4079,off his broom tomorrow.”,
4080,Harry woke early on Saturday morning and lay for a while thinking about the coming,
4081,"Quidditch match. He was nervous, mainly at the thought of what Wood would say if",
4082,"Gryffindor lost, but also at the idea of facing a team mounted on the fastest racing",
4083,brooms gold could buy. He had never wanted to beat Slytherin so badly. After half an,
4084,"hour of lying there with his insides churning, he got up, dressed, and went down to",
4085,"breakfast early, where he found the rest of the Gryffindor team huddled at the long,",
4086,"empty table, all looking uptight and not speaking much.",
4087,"As eleven o’clock approached, the whole school started to make its way down to the",
4088,Quidditch stadium. It was a muggy sort of day with a hint of thunder in the air. Ron and,
4089,Hermione came hurrying over to wish Harry good luck as he entered the locker rooms.,
4090,"The team pulled on their scarlet Gryffindor robes, then sat down to listen to Wood’s",
4091,usual pre-match pep talk.,
4092,"“Slytherin has better brooms than us,” he began. “No point denying it. But we’ve got",
4093,"better people on our brooms. We’ve trained harder than they have, we’ve been flying in",
4094,"all weathers — ”(“Too true,” muttered George Weasley. “I haven’t been properly dry",
4095,since August”) “— and we’re going to make them rue the day they let that little bit of,
4096,"slime, Malfoy, buy his way onto their team.”",
4097,"Chest heaving with emotion, Wood turned to Harry.",
4098,Page 142 of 291,
4099,Get free e-books and video tutorials at www.passuneb.com,
4100,,
4101,,
4102,"“It’ll be down to you, Harry, to show them that a Seeker has to have something more",
4103,"than a rich father. Get to that Snitch before Malfoy or die trying, Harry, because we’ve",
4104,"got to win today, we’ve got to.”",
4105,"“So no pressure, Harry” said Fred, winking at him.",
4106,"As they walked out onto the pitch, a roar of noise greeted them; mainly cheers, because",
4107,"Ravenclaw and Hufflepuff were anxious to see Slytherin beaten, but the Slytherins in the",
4108,"crowd made their boos and hisses heard, too. Madam Hooch, the Quidditch teacher,",
4109,"asked Flint and Wood to shake hands, which they did, giving each other threatening",
4110,stares and gripping rather harder than was necessary.,
4111,"“On my whistle,” said Madam Hooch. “Three… two… one…”",
4112,"With a roar from the crowd to speed them upward, the fourteen players rose toward the",
4113,"leaden sky. Harry flew higher than any of them, squinting around for the Snitch.",
4114,"“All right there, Scarhead?” yelled Malfoy, shooting underneath him as though to show",
4115,off the speed of his broom.,
4116,"Harry had no time to reply. At that very moment, a heavy black Bludger came pelting",
4117,toward him; he avoided it so narrowly that he felt it ruffle his hair as it passed.,
4118,"“Close one, Harry!” said George, streaking past him with his club in his hand, ready to",
4119,knock the Bludger back toward a Slytherin. Harry saw George give the Bludger a,
4120,"powerful whack in the direction of Adrian Pucey, but the Bludger changed direction in",
4121,midair and shot straight for Harry again.,
4122,"Harry dropped quickly to avoid it, and George managed to hit it hard toward Malfoy.",
4123,"Once again, the Bludger swerved like a boomerang and shot at Harry’s head.",
4124,Harry put on a burst of speed and zoomed toward the other end of the pitch. He could,
4125,hear the Bludger whistling along behind him. What was going on? Bludgers never,
4126,concentrated on one player like this; it was their job to try and unseat as many people as,
4127,possible…,
4128,Page 143 of 291,
4129,Get free e-books and video tutorials at www.passuneb.com,
4130,,
4131,,
4132,Fred Weasley was waiting for the Bludger at the other end. Harry ducked as Fred swung,
4133,at the Bludger with all his might; the Bludger was knocked off course.,
4134,"“Gotcha!” Fred yelled happily, but he was wrong; as though it was magnetically attracted",
4135,"to Harry, the Bludger pelted after him once more and Harry was forced to fly off at full",
4136,speed.,
4137,"It had started to rain; Harry felt heavy drops fall onto his face, splattering onto his",
4138,glasses. He didn’t have a clue what was going on in the rest of the game until he heard,
4139,"Lee Jordan, who was commentating, say, “Slytherin lead, sixty points to zero.’",
4140,"The Slytherins’ superior brooms were clearly doing their jobs, and meanwhile the mad",
4141,Bludger was doing all it could to knock Harry out of the air. Fred and George were now,
4142,flying so close to him on either side that Harry could see nothing at all except their,
4143,"flailing arms and had no chance to look for the Snitch, let alone catch it.",
4144,"“Someone’s — tampered — with — this — Bludger —” Fred grunted, swinging his bat",
4145,with all his might at it as it launched a new attack on Harry.,
4146,"“We need time out,” said George, trying to signal to Wood and stop the Bludger",
4147,breaking Harry’s nose at the same time.,
4148,"Wood had obviously got the message. Madam Hooch’s whistle rang out and Harry,",
4149,"Fred, and George dived for the ground, still trying to avoid the mad Bludger.",
4150,"“What’s going on?” said Wood as the Gryffindor team huddled together, while",
4151,"Slytherins in the crowd jeered. “We’re being flattened. Fred, George, where were you when",
4152,that Bludger stopped Angelina scoring?”,
4153,"“We were twenty feet above her, stopping the other Bludger from murdering Harry,",
4154,"Oliver,” said George angrily. “Someone’s fixed it — it won’t leave Harry alone. It hasn’",
4155,gone for anyone else all game. The Slytherins must have done something to it.”,
4156,"“But the Bludgers have been locked in Madam Hooch’s office since our last practice, and",
4157,"there was nothing wrong with them then…” said Wood, anxiously. Madam Hooch was",
4158,"walking toward them. Over her shoulder, Harry could see the Slytherin team jeering and",
4159,pointing in his direction.,
4160,Page 144 of 291,
4161,Get free e-books and video tutorials at www.passuneb.com,
4162,,
4163,,
4164,"“Listen,” said Harry as she came nearer and nearer, “with you two flying around me all",
4165,the time the only way I’m going to catch the Snitch is if it flies up my sleeve. Go back to,
4166,the rest of the team and let me deal with the rogue one.”,
4167,"“Don’t be thick,” said Fred. “It’ll take your head off.”",
4168,Wood was looking from Harry to the Weasleys.,
4169,"“Oliver, this is insane,” said Alicia Spinner angrily. “You can’t let Harry deal with that",
4170,thing on his own. Let’s ask for an inquiry…”,
4171,"“If we stop now, we’ll have to forfeit the match!” said Harry. “And we’re not losing to",
4172,"Slytherin just because of a crazy Bludger! Come on, Oliver, tell them to leave me alone!”",
4173,"“This is all your fault,” George said angrily to Wood. “‘Get the Snitch or die trying,’ what",
4174,a stupid thing to tell him —”,
4175,Madam Hooch had joined them.,
4176,“Ready to resume play?” she asked Wood.,
4177,Wood looked at the determined look on Harry’s face.,
4178,"“All right,” he said. “Fred, George, you heard Harry — leave him alone and let him deal",
4179,with the Bludger on his own.”,
4180,"The rain was falling more heavily now. On Madam Hooch’s whistle, Harry kicked hard",
4181,into the air and heard the telltale whoosh of the Bludger behind him. Higher and higher,
4182,"Harry climbed; he looped and swooped, spiraled, zigzagged, and rolled. Slightly dizzy,",
4183,"he nevertheless kept his eyes wide open, rain was speckling his glasses and ran up his",
4184,"nostrils as he hung upside down, avoiding another fierce dive from the Bludger. He",
4185,"could hear laughter from the crowd; he knew he must look very stupid, but the rogue",
4186,Bludger was heavy and couldn’t change direction as quickly as Harry could; he began a,
4187,"kind of roller-coaster ride around the edges of the stadium, squinting through the silver",
4188,"sheets of rain to the Gryffindor goal posts, where Adrian Pucey was trying to get past",
4189,Wood.,
4190,Page 145 of 291,
4191,Get free e-books and video tutorials at www.passuneb.com,
4192,,
4193,,
4194,A whistling in Harry’s ear told him the Bludger had just missed him again; he turned,
4195,right over and sped in the opposite direction.,
4196,"“Training for the ballet, Potter?” yelled Malfoy as Harry was forced to do a stupid kind of",
4197,"twirl in midair to dodge the Bludger, and he fled, the Bludger trailing a few feet behind",
4198,"him; and then, glaring back at Malfoy in hatred, he saw it — the Golden Snitch. It was",
4199,"hovering inches above Malfoy’s left ear — and Malfoy, busy laughing at Harry, hadn’t",
4200,seen it.,
4201,"For an agonizing moment, Harry hung in midair, not daring to speed toward Malfoy in",
4202,case he looked up and saw the Snitch.,
4203,WHAM.,
4204,"He had stayed still a second too long. The Bludger had hit him at last, smashed into his",
4205,"elbow, and Harry felt his arm break. Dimly, dazed by the searing pain in his arm, he slid",
4206,"sideways on his rain-drenched broom, one knee still crooked over it, his right arm",
4207,"dangling useless at his side — the Bludger came pelting back for a second attack, this",
4208,"time zooming at his face — Harry swerved out of the way, one idea firmly lodged in his",
4209,numb brain: get to Malfoy.,
